Obs,Hubids,Eircode,Month,TwoHrSlot,%gas,heat_mean,heat_stddev,h_pr0-1,h_pr1-10,h_pr10-20,h_pr20-30,h_pr30-40,h_pr40-50,h_pr50-60,h_pr60-70,h_pr70-80,h_pr80-90,h_pr90-99,h_pr99-100,boiler_mean,boiler_stddev,b_pr0-1,b_pr1-10,b_pr10-20,b_pr20-30,b_pr30-40,b_pr40-50,b_pr50-60,b_pr60-70,b_pr70-80,b_pr80-90,b_pr90-99,b_pr99-100
2807,29,A83,7,0,0.744923406,4.153580334,19.92056393,0.957962237,0,0.000356252,0,0.000356252,0,0,0,0,0,0,0.041325258,1.039116501,9.077555055,0.986106163,0,0.000712504,0.000712504,0.000356252,0,0.000356252,0.000356252,0,0.011400071,0,0
2787,29,A83,7,2,0.745963402,4.192752065,19.99959255,0.957660567,0,0,0.000358809,0,0,0,0,0.000358809,0.000358809,0,0.041263007,1.094330831,9.265869089,0.985288841,0,0.000717618,0.000358809,0.000358809,0.000358809,0.000717618,0.000717618,0,0.01148188,0,0
2800,29,A83,7,4,0.746428571,6.03353572,22.91454029,0.931428571,0,0.000714286,0.000357143,0.001071429,0.005714286,0.005,0.002142857,0.002142857,0.001071429,0.001428571,0.048928571,2.681250017,14.16711333,0.960714286,0.000357143,0.001071429,0.001785714,0.004285714,0.006071429,0.0025,0.001428571,0.001071429,0.0125,0.001428571,0.006785714
2853,29,A83,7,6,0.749386611,8.201752557,25.25699448,0.889940414,0.003154574,0.002804066,0.007711181,0.002453558,0.011566772,0.010515247,0.002103049,0.013669821,0.002453558,0.001402033,0.052225727,4.617069759,17.34412815,0.919733614,0.002804066,0.005608132,0.006309148,0.014721346,0.007711181,0.003154574,0.003855591,0.014721346,0.015071854,0.000350508,0.00595864
2858,29,A83,7,8,0.748075577,8.534919541,25.66731817,0.880685794,0.00349895,0.00419874,0.018544437,0.00279916,0.004548635,0.005598321,0.004548635,0.016095171,0.004548635,0.00349895,0.05143457,4.812281331,17.40583752,0.909377187,0.00419874,0.008047586,0.018194542,0.00279916,0.009797061,0.00349895,0.008047586,0.017144857,0.014695591,0,0.00419874
2850,29,A83,7,10,0.748070175,7.391017533,24.34571874,0.900701754,0.003508772,0.005614035,0.005964912,0.004912281,0.005263158,0.004210526,0.006315789,0.006666667,0.005614035,0.005263158,0.045964912,3.569964914,14.94963076,0.93122807,0.005263158,0.007719298,0.006315789,0.005964912,0.007368421,0.004561404,0.010175439,0.005614035,0.013333333,0.001403509,0.001052632
2851,29,A83,7,12,0.749561557,6.162083477,22.95618413,0.92423711,0.002455279,0.001753771,0.003507541,0.003507541,0.003156787,0.003156787,0.002455279,0.002806033,0.003156787,0.003507541,0.046299544,2.337250103,12.34754711,0.956857243,0.002455279,0.004209049,0.004209049,0.004209049,0.005261312,0.001753771,0.003858295,0.003858295,0.012627148,0.000350754,0.000350754
2845,29,A83,7,14,0.746572935,6.956203866,23.64952537,0.907557118,0.003514938,0.003514938,0.001757469,0.004920914,0.010544815,0.008435852,0.003514938,0.003514938,0.003163445,0.002811951,0.046748682,2.83268893,13.1426492,0.943057996,0.00456942,0.004920914,0.00456942,0.013005272,0.004217926,0.003866432,0.003866432,0.003866432,0.01370826,0.000351494,0
2852,29,A83,7,16,0.747194951,9.008450211,26.36323042,0.877629734,0.004558205,0.004207574,0.005610098,0.00631136,0.014726508,0.00911641,0.006661992,0.00631136,0.002454418,0.004207574,0.058204769,5.066479668,18.11628326,0.910238429,0.004908836,0.005610098,0.007012623,0.010168303,0.015077139,0.007363254,0.008415147,0.004908836,0.015778401,0.000701262,0.009817672
2863,29,A83,7,18,0.745721271,9.302933979,27.20336663,0.878449179,0.005937827,0.003143556,0.004889976,0.00523926,0.010827803,0.008382815,0.00523926,0.003842124,0.004540692,0.006287111,0.063220398,5.203527778,18.81811113,0.91023402,0.007334963,0.00523926,0.006636395,0.008033531,0.011177087,0.008033531,0.006287111,0.004540692,0.02025847,0.001047852,0.011177087
